company|description|position|reviews|Region|City|State
SAIC|Description SAIC is seeking a team member to support the Technology Application, Development and Sustainment (TADS) program under the Air Force Weather (AFW) Systems Program Office. The TADS program supports the development, delivery, and sustainment of an integrated system of weather enterprise hardware and software that provides accurate, consistent, relevant, and timely environmental intelligence to the Department of Defense, other federal agencies, and other countries. Job Description: Works in cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insight. Translates mission needs into an end-to-end analytical approach to achieve results. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage and retrieval. Determines the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining, predictive modeling, machine learning, natural language processing, and business intelligence. Interprets the validity of results and communicates the meaning of those results. Has familiarity with data wrangling, analytics, and visualization software and programming languages, including analytics methods for big data. Follows a scientific approach to generate value from data, verifying results at each step. Qualifications Typical Education and Experience: Bachelors and two (2) years or more experience; Masters and 0 years related experience. In lieu of a degree 4 years of additional experience is required. Secret security clearance required. The selected candidate will have experiences / skills with the following tools / systems: Required: Experience with a variety of tools/software used to perform tasks related to data science rolesDesired: Nifi, Kafka, Neo4, Hadoop, Tika, Spark, Scientific Algorithm development, Weather forecastin Desired Qualifications|data scientist|1|Midwest|Offutt AFB| NE
TD Ameritrade|"This position is responsible leading a cross functional team responsible for developing complex algorithms and using advanced modeling techniques (e.g., predictive and prescriptive) to interpret data, extract insights, and help produce data science solutions to enable better decision-making. The role works with large data sets and leverages cutting edge machine learning techniques (e.g., neural networks, time-series forecasting, ensemble learning, and unsupervised learning) to train historical data to predict the validated course of action for pre-specified outcomes. The role requires integration of multiple data sets for feature creation, reduction, and selection to identify the most important unbiased drivers for the prediction. This role partners with the business to understand the business strategy and apply knowledge of statistical, mathematical, and advanced modeling techniques to ask the right questions to derive appropriate outcomes.

This associate collaborates with a cross functional team to develop, deploy, verify product quality, and maintain the predictive model lifecycle to help provide business value for the organization.

Work with business to proactively identify opportunities for advanced analytics utilization Identify business questions or hypotheses to be analyzed Identify test groups and data sourcesIdentify control group to minimize biasIdentify best statistical or modeling method to utilizeIndependently conduct ad-hoc data mining activitiesPresent and discuss findings of advanced analytics analyses to non-technical stakeholdersWork with business to identify and recommend additional test factors and re-test as neededDiscuss patterns and trends identified by analysisReview prediction and optimization factorsCollaborate with business and IT partners to support the big data and cloud computing strategyDrive collection of new data sources and refinement of existing datasets to support business objectivesResearch and enhance advanced analytics tools and capabilitiesWork closely with external vendors on support and maintenance of statistical and data modeling toolsParticipate in projects to assess and implement new big data, machine learning and statistical capabilitiesTest and review custom datasets Support production releases of big data and statistical toolsReview, test and document changes to processes, tools and architecture Collaborate with analysts and data scientists to use expanded data sets and query techniquesParticipate in continuing education to enhance the level of advanced analytics knowledge and skillParticipate in research, consortiums, seminars, and events to obtain advanced analytics expertiseProvide support for training and workshops that provide big data research and tools to the analyst community

Graduate Degree Required in Computer Science, Information Systems, Data Science, Engineering, Mathematics or Business.6+ Years related experience6-8 Years total experienceExperience with data science techniques such as profiling, a/b testing, ensemble learning, unsupervised learning, deep learning, feature reduction, time-series forecasting, Bayesian Statistics, etc.Experience in data profiling, data mining, data cleaning, feature engineering and predictive analyticsUnderstanding of enterprise data warehouses and related data platformsHands-on experience with data tools and programming languages including SQL & PythonMust be proficient in developing and tuning Python & Postgres SQLExperience with data visualizationHands-on experience with big data & cloud computingExperience of data models to support advanced/predictive analyticsMust be business-centric, data-oriented, analytically minded and results drivenDemonstrated critical thinking skills to scope and frame problemsDisplays excellent judgment to propose effective, business driven solutionsExcellent interpersonal and relationship building skills to effectively educate and coach teammates and business partnersMilitary education or experience may be considered in lieu of civilian requirements listed

None required. Related certifications include:

CDMP (Certified Data Management Professional)CBIP (Certified Business Intelligence Professional)CIMP (Certified Information Management Professional)MCSA (Microsoft Certified Solutions Associate)MCSE (Microsoft Certified Solutions Expert)ICP (Informatica Certified Professionals) CAP (Certified Analytics Professional)DGSP (Data Governance and Stewardship Professional)BDE (Certified Big Data Engineer)
"|lead data scientist|5|Midwest|Omaha| NE
Physicians Mutual Insurance||data scientist|0|Midwest|Omaha| NE
Ameritas Life Insurance Corp|"Job Title:

Data Scientist

Location:

Ameritas Life-Lincoln-NELK2

Area of Interest:

Information Technology

Full-Time/Part Time:

Full-time

Job Description:

Deepen understanding and usage of data across the enterprise.

At Ameritas, fulfilling life is what we do daily. We continuously strive to help our customers and employees enjoy life at its very best by reducing uncertainty, helping grow assets and protecting what is most cherished. We're here to help people put worry behind and the future ahead and help enable a life that's rich in family, happiness, health and financial security. When lives are fulfilled, our mission is fulfilled.

Ameritas Life Insurance Corp is seeking a Data Scientist to drive the business by collecting and analyzing customer and operational data to deepen the understanding of the customer behavior across all channels.

Essential Job Functions

Work directly with the business to understand their questions, business processes, programs and/or initiatives, then identify how analytical solutions could help deliver value for them.
Learn and understand the insurance industry, practices, standards and concepts for all business lines to determine how they are interrelated and the impact on data integration
Determine necessary data sets and translate data into viable insights and business recommendations
Responsible for utilizing software best practices, creating models, algorithms and modern techniques
Utilizes extensive research and problem-solving skills that includes descriptive and predictive analytics
Understand data collection capability in all business systems and recommend enhanced business processes
Implement predictive modeling to create actionable outcomes
Assist in automating data wrangling, iterative solution search and operationalization of models, working alongside data architects.
Provide analytical support and guidance, through database querying, third-party vendor reporting and external partner reports, across the enterprise
Work with cross-functional teams to resolve data discrepancies and system issues
Communicate with and present to managers from all levels of the business, both internal and external

Requirements

Bachelor's degree or equivalent amount of experience required, preferably in a quantitative field such Data, Computer Actuarial Sciences, Engineering, Statistics or Mathematical degrees
4+ years of relevant experience in the areas listed below, or equivalent combination of education and experience.
Experience programming in R, SQL, Python
Knowledge of statistical areas such as ANOVA, multiple regression, timeseries modeling, principal component analyses, decision trees, clustering, etc.
The ability to handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and messy datasets
Experience coding and maintaining predictive algorithms
Strong research, statistical, analytical, processing and mathematical skills with ability to structure and conduct analysis
Fluency with analytics platforms like SAS, DSX or SPSS, Data Robot, Alteryx, etc.
Motivated and self-directed - will seek out answers rather than waiting to be told what to do
Disposition for data detective work a plus
Strong written and verbal skills
Possess strong time management skills, as you will be managing multiple projects at once

We are Ameritas: proud to say we're in the business of fulfilling life.
"|data scientist|5|Midwest|Lincoln| NE
Perceptyx|"
Our mission is simple: to help people and organizations thrive. It’s focused. It drives us. We work closely with clients, listen to their vision, and formulate a comprehensive plan and implement an innovative solution that will empower organizations to thrive! We are unique and we put our customers first. We employ a solid, diverse staff of professionals with the experience, knowledge, and drive to move every project swiftly from vision to reality.
Job Purpose:  
To continue to advance the Perceptyx reporting platform through the application of different procedures, algorithms, and procedures that better enable our internal teams, and external clients to discover insights with ease. Prototyping, testing and creating procedures that continue to advance our system capabilities and product offering.

Essential Functions and Responsibilities:The duties described are representative of those that must be met by an employee to perform the essential functions of the job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the job.
Essential Duties:
• Applies expertise in people research, quantitative analysis, and data visualization. 

• Determine customers' needs and desires by specifying the research needed to obtain market information. 

• Uses tools to understand structured and unstructured data, using tools such as R or Python.

• Recommends the nature and scope of present and future product lines by reviewing product specifications and requirements; appraising new product ideas and/or product or packaging changes. 
• Assesses market competition by comparing the company's product to competitors' products. 
• Supports the team to bring new products to market by analyzing proposed product requirements and product development programs; establishing time schedules with graphics and developers. 
• Supports design sprints with subject matter experts; from graphics, through to technical based roles. 
• Supports the introduction of new products by developing time-integrated plans partnering with sales, marketing, professional services, quality and operations. 

• Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies. 

• Contributes to team effort by accomplishing related results as needed. 
Marginal Duties:
· Assist in any other area as needed
Education/Qualifications: The education/qualifications described are representative of those that must be met by an employee to perform the essential functions of this job. Reasonable accommodations may be paid to enable individuals with disabilities to perform the essential functions of the job.Mi

Required
· BA/BS in a field emphasizing people research in organizations (e.g., Industrial/Organizational Psychology, Organizational Behavior, Economics, Management, Political Science, Sociology, etc.). 

· 1+ years of relevant work experience applying multivariate statistical methods such as GLM, analysis of quasi-experimental research designs with non-equivalent groups (e.g., regression adjustment, matching, propensity score stratification), longitudinal analysis, classification, dimension reduction, clustering, hierarchical linear (random effects) modeling, and / or other statistical / machine learning methods, to people research problems in organizations. 
· Experience using tools such as R or Python, to work with data.
· Intellectual curiosity, along with a competitive spirit 
· An action-oriented and entrepreneurial mindset 
· Higher levels of numerical and abstract reasoning 
· Ability to translate business-to-technical requirements, and vice versa 
· Relevant experience in analytics, including principles of machine learning 
Preferred
· All of the above required education and qualifications.

· MA/MS/PhD in a field emphasizing people research in organizations (e.g., Industrial/Organizational Psychology, Organizational Behavior, Economics, Management, Political Science, Sociology, etc.). 
Equipment Use:
· Computers, copiers, scanners, telephone

Physical and Mental Demands:
The physical and mental demands described here are representative of those that must be met by a team member to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to stand, sit, talk, hear, and use hands and fingers to operate a computer, telephone, and keyboard. Twisting, bending, reaching, stooping, and kneeling is also regularly required. Ability to sit and/or stand at a computer terminal for an extended period of time.

Specific vision abilities required by this job include close vision requirements due to computer work. 
The work environment characteristics described here are representative of those a team member encounters while performing the essential functions of this job. Moderate noise (i.e. business office with computers, phone, and printers, light traffic) and work is performed indoors in a climate-controlled environment.

Please note this job description/job ad is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

How to Apply:
Qualified candidates should respond with their resume, and a cover letter of interest."|data scientist manager|5|Midwest|Lincoln| NE
Sandhills Global|"The Data Scientist may be responsible for any of the following tasks: Analyzing data that is collected in our current and future products and services. The Data Scientist would need to be able to take this data and apply to the markets our products are in for us to better serve our customers. The Data Scientist must have good communication and organization skills, along with a working knowledge of day to day operations and priorities within their department and the company.

Qualifications: Bachelors or Masters Degree in Statistics or Mathematics preferred or any other quantitative discipline, knowledge of the products and customers of the Auction and Heavy Equipment industries, technical expertise regarding data models, database design and development, data mining and segmentation techniques, strong skills working with technical aspects of SQL, knowledge of statistics and experience using statistical packages for analyzing large datasets, strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy, adept at queries, report writing, and present findings, excellent oral and written communication skills, able to work independently and communicate within a team environment, results oriented, flexible and open to change, stable and progressive work history, professional appearance and demeanor, ability to travel by air and ground -- valid driver’s license required, strong computer skills, able to work with minimal supervision."|data scientist|5|Midwest|Lincoln| NE
CoSourcing Partners||data scientist|0|Midwest|Lincoln| NE
SAIC|Description SAIC is seeking a team member to support the Technology Application, Development and Sustainment (TADS) program under the Air Force Weather (AFW) Systems Program Office. The TADS program supports the development, delivery, and sustainment of an integrated system of weather enterprise hardware and software that provides accurate, consistent, relevant, and timely environmental intelligence to the Department of Defense, other federal agencies, and other countries. Job Description: Works in cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insight. Translates mission needs into an end-to-end analytical approach to achieve results. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage and retrieval. Determines the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining, predictive modeling, machine learning, natural language processing, and business intelligence. Interprets the validity of results and communicates the meaning of those results. Has familiarity with data wrangling, analytics, and visualization software and programming languages, including analytics methods for big data. Follows a scientific approach to generate value from data, verifying results at each step. Qualifications Typical Education and Experience: Bachelors and eighteen (18) years or more experience; Masters and sixteen (16) years or more experience; PhD or JD and fifteen years or more experience. In lieu of a degree 4 years of additional experience is required. Secret security clearance required. The selected candidate will have experiences / skills with the following tools / systems: Required: Experience with a variety of tools/software used to perform tasks related to data science rolesDesired: Nifi, Kafka, Neo4, Hadoop, Tika, Spark, Scientific Algorithm development, Weather forecasting Desired Qualifications|data scientist|1|Midwest|Offutt AFB| NE
Home Instead Senior Care|"Working in senior care may not seem like an exciting endeavor, but at Home Instead, Inc. (""Home Instead"") we are Changing the Face of Aging® with a singular focus that is anything but boring! To be successful, we require enthusiastic and collaborative professionals.

If you are ready for an opportunity to make a difference in the world with the work you do while enjoying a meaningful career, we have a great opportunity for you as Marketing Data Scientist. You’ll be responsible for overseeing the integration and ongoing management of Home Instead’s marketing performance data sources, and use data to generate insights and recommendations to inform Marketing business decisions.

If you have a passion for serving others and enjoy building relationships, this is the position for you!

As Marketing Data Scientist you’ll:



Collaborate with marketing stakeholders and third-party agencies to identify data visualization needs, based on department and business goals.
Leverage customer relationship management platform data to help inform marketing business decisions.
Integrate internal operational data with marketing campaign and advertising performance data.
Collaborate with marketing stakeholders and third-party agencies to maximize audience modeling, segmentation, and retargeting opportunities.
Contribute to the accuracy/integrity of data through validation, testing, and documentation. Contribute to standardization and serve as marketing representative in data governance efforts.
Investigate and analyze user experience data to identify trends; provide insights into the prospect/client/CAREGiver journey and recommendations for optimization and improvement.
Regularly execute ad hoc reporting requests from marketing stakeholder and third-party agencies

Education, Experience and Required Skills:



Bachelor's degree in Data Science, Mathematics, Statistics, or Marketing required; Master’s degree preferred.
Minimum of 5 years of experience performing data analysis in a corporate environment.
Robust understanding of statistical techniques and their application in business.
Show a natural curiosity, coupled with the analytical and technical skills to solve complex problems.
Be comfortable with data extraction, data manipulation, synthesis and creating presentations.
Demonstrate a proven understanding of marketing concepts and tactics and the ability to share this knowledge with internal and external contacts.
Demonstrate ability to serve in both practical (task-based) and strategic roles.
Ability to think strategically and independently to set priorities and develop plans in the absence of specific instructions to identify and solve problems.
Experience with ETL (Extract-Transform-Load) solutions, and associated data table creation and relationship building preferred.
Experience with data visualization solutions including Microsoft Power BI or Tableau preferred.
Maintain the highest regard for data security, and ensure best practices are utilized to safeguard PII and other sensitive user and company information.


The Home Instead Senior Care® network provides personalized care, support and education to help enhance the lives of aging adults and their families. Today, this network is the world's leading provider of in-home care services for seniors, with more than 1,200 independently owned and operated franchises that annually provide more than 80 million hours of care throughout the United States and 11 other countries. Local Home Instead Senior Care offices employ approximately 65,000 CAREGiversSM worldwide who provide basic support services that enable seniors to live safely and comfortably in their own homes for as long as possible, serving 90,000 seniors daily. The Home Instead Senior Care network strives to partner with each client and his or her family members to help meet that individual’s needs. Services span the care continuum – from providing personal care to specialized Alzheimer’s care and hospice support. Also available are family caregiver education and support resources. At Home Instead Senior Care, it’s relationship before task, while striving to provide superior quality service. These independently owned and operated franchises achieve service excellence with the support of dedicated Global Headquarters staff members who provide exceptional service with a personal touch.

The Home Instead, Inc. benefits package includes:



Health Insurance
Dental Insurance
Vision Insurance
Health Savings Account (HSA)
Flexible Spending Accounts (Health; Dependent Daycare/Eldercare)
Life Insurance (Basic & Additional Voluntary Coverage for Employee, Spouse and/or Children)
Short Term Disability
Long Term Disability
401(k) Savings Plan
Honor PTO
Employee Assistance Program
Wellness Program
On-site Dining Room

Applicants have rights under Federal Employment Laws:

Family Medical Leave Act (FMLA)

Equal Employment Opportunity (EEO)

Employee Polygraph Protection Act (EPPA)"|data scientist|5|Midwest|Omaha| NE
Cleaver-Brooks|"Location: Milwaukee, WI (relocation assistance provided, if needed)

Role Summary:

The Senior Data Scientist applies expert level statistical analysis, data modeling, and predictive analysis on strategic and operational problems in the manufacturing and operations industry. As a key member of the IoT team, you will leverage your statistical and business expertise to translate business questions into data analysis and models, define suitable KPIs, and graphically present results to a wide range of audiences including direct customers, sales and service. You will also create high-quality data manipulation scripts in Python, develop data pipeline for advanced analysis and prediction. You will utilize strong communication skills to deliver your data findings throughout the organization.

Essential Responsibilities:

As the Senior Data Scientist, you will be integrated with the R&D, IT, Product Support, and Sales teams as part of a data science or cross-disciplinary team focused on analytics projects, involving large and complex data. The future applications include remote monitoring, predictive and prescriptive diagnostics of the entire boiler room and equipment to optimize customers operations.

Qualifications/Requirements:

Bachelor’s degree and Master’s degree in Engineering, Statistics, Mathematics or another quantitative fieldAbility to apply modeling and analytical skills to real-world problems demonstrated over 3-6 years of experience.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Work with subject matter experts for boilers to identify opportunities for leveraging data to deliver in-sights and actionable prediction of boiler behavior and performance.Experience in developing real world data applications and cloud implementationExperience developing experimental and analytic plans for data modelingKnowledge in using of relevant statistical measures such as confidence intervals, hypothesis testing significance of error measurements, development and evaluation data sets, etc. in data analysis projectsFamiliar with the following software/tools:

Coding knowledge and experience with any of the languages: C++, Java, Python.Experience using AWS web services: Redshift, S3, Athena, Kinesis, etc.

Experience using statistical computer languages (Python, R, SQL, etc.) to manipulate data and draw insights from large data setsExperience with machine learning and/or deep learning technologies and key parameters that affect their performanceDemonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial datasetsCollaborate with software engineers to implement and test production quality code for forecasting and data analytics models.

In this role you will:

Develop data-driven solutions to provide recommendations to our customersInteract with various departments like R&D, Service, Sales and Aftermarket to collect dataExplore huge amounts of data and create various user storiesExplore root cause for various issues identified in the dataProvide support in implementing data solutionsDevelop processes and tools to monitor and analyze model performance and data accuracyPerform exploratory data analysis for discovering insights;Develop, verify, and validate predictive or prescriptive analytics and insightsDocument and communicate your work and outcomes to internal leadership teamWork alongside software developers and sales team to translate algorithms into products and servicesWork with functional teams on application of analytics products.All other duties as assigned

Desired Characteristics:

Business Intelligence experienceDealing with structured and unstructured dataCreate new insights using existing and new dataStrong knowledge in statistics, applied mathematics, machine learning algorithmsAbility to design, build, and manage big data applicationsAbility to create a story and use visualizations to represent the dataMine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques, and business strategiesExperience with non-traditional databasesKnowledge of advanced statistical techniques and conceptsAbility to manage ambiguous circumstancesStrong Critical thinking and problem-solving skillsExcellent written and verbal communication skills
"|senior data scientist|5|Midwest|Lincoln| NE
SAIC|Description SAIC is seeking a team member to support the Technology Application, Development and Sustainment (TADS) program under the Air Force Weather (AFW) Systems Program Office. The TADS program supports the development, delivery, and sustainment of an integrated system of weather enterprise hardware and software that provides accurate, consistent, relevant, and timely environmental intelligence to the Department of Defense, other federal agencies, and other countries. Job Description: Works in cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insight. Translates mission needs into an end-to-end analytical approach to achieve results. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage and retrieval. Determines the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining, predictive modeling, machine learning, natural language processing, and business intelligence. Interprets the validity of results and communicates the meaning of those results. Has familiarity with data wrangling, analytics, and visualization software and programming languages, including analytics methods for big data. Follows a scientific approach to generate value from data, verifying results at each step. Qualifications Typical Education and Experience: Bachelors and five (5) years or more experience; Masters and three (3) years or more experience; PhD and 0 years related experience. In lieu of a degree 4 years of additional experience is required. Secret security clearance required. The selected candidate will have experiences / skills with the following tools / systems: Required: Experience with a variety of tools/software used to perform tasks related to data science rolesDesired: Nifi, Kafka, Neo4, Hadoop, Tika, Spark, Scientific Algorithm development, Weather forecasting Desired Qualifications|senior data scientist|1|Midwest|Offutt AFB| NE
SAIC|Description SAIC is seeking a team member to support the Technology Application, Development and Sustainment (TADS) program under the Air Force Weather (AFW) Systems Program Office. The TADS program supports the development, delivery, and sustainment of an integrated system of weather enterprise hardware and software that provides accurate, consistent, relevant, and timely environmental intelligence to the Department of Defense, other federal agencies, and other countries. Job Description: Works in cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insight. Translates mission needs into an end-to-end analytical approach to achieve results. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage and retrieval. Determines the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining, predictive modeling, machine learning, natural language processing, and business intelligence. Interprets the validity of results and communicates the meaning of those results. Has familiarity with data wrangling, analytics, and visualization software and programming languages, including analytics methods for big data. Follows a scientific approach to generate value from data, verifying results at each step. Qualifications Typical Education and Experience: Bachelors and nine (9) years or more experience; Masters and seven (7) years or more experience ; PhD or JD and four (4) years or more experience. In lieu of a degree 4 years of additional experience is required. Secret security clearance required. The selected candidate will have experiences / skills with the following tools / systems: Required: Experience with a variety of tools/software used to perform tasks related to data science rolesDesired: Nifi, Kafka, Neo4, Hadoop, Tika, Spark, Scientific Algorithm development, Weather forecasting Desired Qualifications|principal data scientist|1|Midwest|Offutt AFB| NE
SAIC|Description SAIC is seeking a team member to support the Technology Application, Development and Sustainment (TADS) program under the Air Force Weather (AFW) Systems Program Office. The TADS program supports the development, delivery, and sustainment of an integrated system of weather enterprise hardware and software that provides accurate, consistent, relevant, and timely environmental intelligence to the Department of Defense, other federal agencies, and other countries. Job Description: Works in cross-functional teams with data at all stages of the analysis lifecycle to derive actionable insight. Translates mission needs into an end-to-end analytical approach to achieve results. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage and retrieval. Determines the appropriate analytics based on the data and the desired outcomes, using techniques including feature detection, statistics, data mining, predictive modeling, machine learning, natural language processing, and business intelligence. Interprets the validity of results and communicates the meaning of those results. Has familiarity with data wrangling, analytics, and visualization software and programming languages, including analytics methods for big data. Follows a scientific approach to generate value from data, verifying results at each step. Qualifications Typical Education and Experience: Bachelors and two (2) years or more experience; Masters and 0 years related experience. In lieu of a degree 4 years of additional experience is required. Secret security clearance required. The selected candidate will have experiences / skills with the following tools / systems: Required: Experience with a variety of tools/software used to perform tasks related to data science rolesDesired: Nifi, Kafka, Neo4, Hadoop, Tika, Spark, Scientific Algorithm development, Weather forecastin Desired Qualifications|data scientist|1|Midwest|Offutt AFB| NE
TD Ameritrade|"This position is responsible leading a cross functional team responsible for developing complex algorithms and using advanced modeling techniques (e.g., predictive and prescriptive) to interpret data, extract insights, and help produce data science solutions to enable better decision-making. The role works with large data sets and leverages cutting edge machine learning techniques (e.g., neural networks, time-series forecasting, ensemble learning, and unsupervised learning) to train historical data to predict the validated course of action for pre-specified outcomes. The role requires integration of multiple data sets for feature creation, reduction, and selection to identify the most important unbiased drivers for the prediction. This role partners with the business to understand the business strategy and apply knowledge of statistical, mathematical, and advanced modeling techniques to ask the right questions to derive appropriate outcomes.

This associate collaborates with a cross functional team to develop, deploy, verify product quality, and maintain the predictive model lifecycle to help provide business value for the organization.

Work with business to proactively identify opportunities for advanced analytics utilization Identify business questions or hypotheses to be analyzed Identify test groups and data sourcesIdentify control group to minimize biasIdentify best statistical or modeling method to utilizeIndependently conduct ad-hoc data mining activitiesPresent and discuss findings of advanced analytics analyses to non-technical stakeholdersWork with business to identify and recommend additional test factors and re-test as neededDiscuss patterns and trends identified by analysisReview prediction and optimization factorsCollaborate with business and IT partners to support the big data and cloud computing strategyDrive collection of new data sources and refinement of existing datasets to support business objectivesResearch and enhance advanced analytics tools and capabilitiesWork closely with external vendors on support and maintenance of statistical and data modeling toolsParticipate in projects to assess and implement new big data, machine learning and statistical capabilitiesTest and review custom datasets Support production releases of big data and statistical toolsReview, test and document changes to processes, tools and architecture Collaborate with analysts and data scientists to use expanded data sets and query techniquesParticipate in continuing education to enhance the level of advanced analytics knowledge and skillParticipate in research, consortiums, seminars, and events to obtain advanced analytics expertiseProvide support for training and workshops that provide big data research and tools to the analyst community

Graduate Degree Required in Computer Science, Information Systems, Data Science, Engineering, Mathematics or Business.6+ Years related experience6-8 Years total experienceExperience with data science techniques such as profiling, a/b testing, ensemble learning, unsupervised learning, deep learning, feature reduction, time-series forecasting, Bayesian Statistics, etc.Experience in data profiling, data mining, data cleaning, feature engineering and predictive analyticsUnderstanding of enterprise data warehouses and related data platformsHands-on experience with data tools and programming languages including SQL & PythonMust be proficient in developing and tuning Python & Postgres SQLExperience with data visualizationHands-on experience with big data & cloud computingExperience of data models to support advanced/predictive analyticsMust be business-centric, data-oriented, analytically minded and results drivenDemonstrated critical thinking skills to scope and frame problemsDisplays excellent judgment to propose effective, business driven solutionsExcellent interpersonal and relationship building skills to effectively educate and coach teammates and business partnersMilitary education or experience may be considered in lieu of civilian requirements listed

None required. Related certifications include:

CDMP (Certified Data Management Professional)CBIP (Certified Business Intelligence Professional)CIMP (Certified Information Management Professional)MCSA (Microsoft Certified Solutions Associate)MCSE (Microsoft Certified Solutions Expert)ICP (Informatica Certified Professionals) CAP (Certified Analytics Professional)DGSP (Data Governance and Stewardship Professional)BDE (Certified Big Data Engineer)
"|lead data scientist|5|Midwest|Omaha| NE
