company|description|position|reviews|Region|City|State
Avacend, Inc.|"Contract Duration: 6 months 

Pay rate - $ 55 per hr on w2

Location : Overland Park, KS 

Job Description:

Data Scientist develops processes to analyze high volume, diverse ""big data"" sources using advanced mathematical, statistical, querying, and reporting methods.

Uses predictive analytics techniques and inductive statistical analysis to predict outcomes and behaviors.

May interact with business partners to identify questions for data analysis and experiments.

Effectively uses current and emerging technologies to create machine intelligence models.

Applicable experience working with R, Java, Python, SAS, SPSS or other predictive modeling tools. Working with Hadoop, a NoSQL Database or other big data infrastructure.

Require U.S Citizen only.

This position will work as part of a Cyber security / Fraud data science team. The candidate will be working as a member of the team to support the mitigation of cyber security and fraud risks. Specifically, the candidate will be creating and implementing models using Python, Scala, and Java.

The Data Scientist will be responsible for the following:

- Use business knowledge to guide projects to utilize the proper data science methodology

- Identification of data sources needed for model construction

- Evaluate model performance and accuracy to make algorithm recommendations

- Implement various data science algorithms on chosen data sources

- Be able to communicate results of model studies and statistical findings

Real world implementation of statistical models into a production environment using Python, Scala, or Java.

Experience using SQL, Spark, Hive, and Hadoop.

Experience with the following concepts: Streaming decisioning, statistical modeling, and real-time decisioning.

Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning

# For Quick Response,Candidate can send their Updated Resume to  aman.m@avcend.comRequired Skills

Required Experience

Job Location

Overland Park, US-KS
"|data scientist|0|Midwest|Overland Park| KS
CyberCoders|"Senior Data Scientist 
We're a large financial company that specializes in consumer lending. Our Risk Team is looking to add a Senior member to help with statistical modeling and scorecard development!

What You Will Be Doing
- Using complex statistical modeling to improve portfolio performance through analysis of data and processes- Designs, builds and maintains a risk control framework to track credit card portfolio performance- Developing and presenting recommendations to senior level management
What You Need for this Position
- 3+ years of work experience in statistical modeling (regression models, decision trees, and more complex models)- Experience working in the financial services industry preferred (specially in credit card risk management)- Strong knowledge in SQL, Python and/or R


So, if you are a Senior Data Scientist with experience in statistical modeling , please apply today!
 - Applicants must be authorized to work in the U.S.
CyberCoders, Inc is proud to be an Equal Opportunity Employer

 All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.
 
Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.To apply to this job, click  Apply Now"|senior data scientist|0|Midwest|Leawood| KS
Deegit Inc|"Job DescriptionTitle: Data Scientist

Location: Anywhere in Genpact locations

Employment Type: Full time

Visa Type: Visa independents

Can work from any of the Genpact locations, but there will be some minimum travel involved.

Senior Consultant - Machine Learning/NLP/Advanced Analytics

Job Description:

Understand business process/ business problems and device machine learning/advance analytics solutions to transform business processesDesign and deliver Augmented Intelligence solutions including predictive and prescriptive analyticsFormulating machine learning solutions to business metrics, designing features from the data available from many large data sources, training, evaluating, and deploying modelsDeveloping high-performance algorithms for precision targeting, testing and implementing these algorithms in scalable, production-ready code; Interacting with other teams to define interfaces and understanding and resolving dependenciesDeveloping coding in high-level languages such as R, Python, Java etc.Architect ML/Advanced analytics solutions in cloud infrastructure

Qualification :

Must have:

Bachelors or higher computational science with an emphasis in Machine Learning or Data Science4+ years of experience of writing production quality code;Experience with traditional as well as modern statistical techniques, including Regression, Support Vector Machines, Regularization, Boosting, Random Forests, and other Ensemble MethodsExperience with end-to-end modeling projects emerging from research effortsArchitecture and programing knowledge of data processing on Hadoop programming environments (e.g. Spark/Hive/Pig).Strong implementation experience with high-level languages, such as R, Python, Perl, Ruby, Scala or similar scripting languages;



Familiarity with Linux/Unix/Shell environments.
Strong hands-on skills in sourcing, cleaning, manipulating and analyzing large volumes of data.Experience in creating large data feature stores for Machine learning in Teradata or similar databases.Your github/kaggle profile showing a project or problems you’ve tackled.

Preferred


Developer / Architect Certification in AWS or Azure is a plus

http://www.deegit.com/open-positions

Best regards,

Rakesh. Puvvada | Sr.Technical Recruiter

DeegitTM Inc | Technology Consulting

1900 E Golf Rd., Suite 925 | Schaumburg, IL 60173

Phone (847) 440 2436 / 847 969 5097 Ext. 330

Email: rakesh@deegit.com

Skype: rakeshchowdary

www.deegit.com

The information transmitted is intended only for the person or entity to which it is addressed and may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of, or taking of any action in reliance upon this information by persons or entities other than the intended recipient is prohibited. If you received this in error, please contact the sender and delete the material from any computer."|data scientist|0|Midwest|Independence| KS
GPS Staffing|"Job DescriptionGPS Staffing is a nationwide preferred provider of staffing and recruitment services. GPS has over 25 years of dedicated staffing partnerships with organizations ranging from International Fortune 500 companies to Colorado startups. Our team is committed to Growth, People and Success!

Title: Data Scientist

Job ID: 2946511

Industry: Telecommunications

Location: Overland Park, KS

Duration: 7 months' (possibility of extension or conversion)

Pay Rate Range: Depends on Experience

Position Summary: This position will work as part of a Cybersecurity / Fraud data science team. The candidate will be working as a member of the team to support the mitigation of cybersecurity and fraud risks. Specifically, the candidate will be creating and implementing models using Python, Scala, and Java.

Responsibilities:

Use business knowledge to guide projects to utilize the proper data science methodologyIdentification of data sources needed for model constructionEvaluate model performance and accuracy to make algorithm recommendationsImplement various data science algorithms on chosen data sourcesBe able to communicate results of model studies and statistical findings

Required Qualifications:

Real world implementation of statistical models into a production environment using Python, Scala, or Java.Experience using SQL, Spark, Hive, and Hadoop.Experience with the following concepts: Streaming decisioning, statistical modeling, real-time decisioning.Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning.
"|data scientist|1|Midwest|Overland Park| KS
Telnet INC|"Job Summary

Job Description:

Data Scientist II develops processes to analyze high volume, diverse ""big data"" sources using advanced mathematical, statistical, querying, and reporting methods.

Uses predictive analytics techniques and inductive statistical analysis to predict outcomes and behaviors.

May interact with business partners to identify questions for data analysis and experiments.

Effectively uses current and emerging technologies to create machine intelligence models.

Bachelor's degree in Math, Statistics or related field, and +4 years related work experience.

+4 years applicable experience working with R, Java, Python, SAS, SPSS or other predictive modeling tools.

+4 years experience working with Hadoop, a NoSQL Database or other big data infrastructure.

Must be eligible to work in the U.S. May require U.S Citizen only.

Responsibilities and Duties

Responsibilities:

The Data Scientist will be responsible for the following:



Use business knowledge to guide projects to utilize the proper data science methodology
Identification of data sources needed for model construction
Evaluate model performance and accuracy to make algorithm recommendations
Implement various data science algorithms on chosen data sources
Be able to communicate results of model studies and statistical findings

Qualifications and Skills

Real world implementation of statistical models into a production environment using Python, Scala, or Java.

Experience using SQL, Spark, Hive, and Hadoop.

Experience with the following concepts: Streaming decisioning, statistical modeling, real-time decisioning.

Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning.

Job Type: Contract

Salary: $50.00 to $52.00 /hour

Experience:

Data scientist: 4 years (Preferred)

Contract Length:

5 - 6 months7 - 11 months
"|data scientist|0|Midwest|Overland Park| KS
Avcend Inc|"Note:

May require U.S Citizen only.+4 years applicable experience working with R, Java, Python, SAS, SPSS or other predictive modeling tools.+4 years experience working with Hadoop, a NoSQL Database or other big data infrastructure. Must be eligible to work in the U.S.

*

Job Description:

Data Scientist II develops processes to analyze high volume, diverse ""big data"" sources using advanced mathematical, statistical, querying, and reporting methods. Uses predictive analytics techniques and inductive statistical analysis to predict outcomes and behaviors. May interact with business partners to identify questions for data analysis and experiments. Effectively uses current and emerging technologies to create machine intelligence models. Bachelor's degree in Math, Statistics or related field, and +4 years related work experience.This position will work as part of a Cybersecurity / Fraud data science team. The candidate will be working as a member of the team to support the mitigation of cybersecurity and fraud risks. Specifically, the candidate will be creating and implementing models using Python, Scala, and Java.

Responsibilities:

The Data Scientist will be responsible for the following:Use business knowledge to guide projects to utilize the proper data science methodologyIdentification of data sources needed for model constructionEvaluate model performance and accuracy to make algorithm recommendationsImplement various data science algorithms on chosen data sourcesBe able to communicate results of model studies and statistical findings

Experience:

Real world implementation of statistical models into a production environment using Python, Scala, or Java.Experience using SQL, Spark, Hive, and Hadoop.Experience with the following concepts: Streaming decisioning, statistical modeling, real-time decisioning.Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning.

Job Types: Temporary, Contract

Salary: $46.00 to $48.00 /hour

Experience:

Hadoop, a NoSQL Database: 4 years (Preferred)relevant: 4 years (Required)Cybersecurity: 1 year (Preferred)Java, Python, SAS, SPSS: 4 years (Required)

Education:

Bachelor's (Required)

Work authorization:

United States (Required)

Contract Length:

5 - 6 months

Work Location:

One location

Employment Length:

4 - 6 months
"|data scientist|0|Midwest|Overland Park| KS
Garmin|"As a leading worldwide provider of navigation devices and wearable technology, our focus is on developing, designing and supporting superior products. Our advanced technology promotes performance, safety and ease of use in every market we serve. That makes us an engineering and technology company with a keen focus on recruiting talent in those fields. But the same vertical integration business model that keeps all design and manufacturing processes in-house also gives us the incentive to hire top performers from different backgrounds, including operations, finance and accounting, information technology, sales, marketing and communications.

Associates get the royal treatment at Garmin. Regardless if you’re a newbie or a veteran, engineers dream it, design it and use it. Here, you will be surrounded by others who share the same passion about what they do every day. We offer a relaxed team environment (no dress code!) where advancement is found from sharing knowledge, not hiding it! While we promise you a lot of responsibility, you also will have the opportunity to have ownership over projects…oh, and we promise you there will be some fun mixed in there, too!

We are looking for a Sr. Data Scientist for our headquarters in the greater Kansas City area. In this role, you will support the segments through advanced data analytics of our data. This position will help inform business decisions, feature development and improve user engagement. Other essential functions include:

•	Identify opportunities for leveraging company data to drive business solutions.

•	Mine and analyze data to drive optimization and improvement of Connect user engagement (Garmin Coach confidence, activity analytics, etc), product development, marketing techniques and business strategies.

•	Assess the effectiveness and accuracy of new data sources and data gathering techniques

•	Develop custom data models and algorithms to apply to data sets

•	Use predictive modeling to increase and optimize user experiences, revenue generation, and other business initiatives

•	Coordinate with different functional teams to implement models and monitor outcomes

•	Develop processes and tools to monitor and analyze model performance and data accuracy

•	Possess a drive to learn and master new technologies and techniques

•	Visualize and present data for stakeholders using intriguing and interesting graphics/technologies

•	Mentor junior team members

OTHER RESPONSIBILITIES:

•	Provide quarterly classes for team members to learn Data Science techniques and technologies

•	Improve efficiency of existing MR jobs, or replace with more recent technologies

•	Perform other job-related duties as assigned

Qualified candidates will possess a Master of Science in Computer Science, with Data Science Emphasis with 4 years Data Science experience (emphasis may be in Machine Learning, Mathematics or Statistics if relevant experience is accompanied)

•	Will serve as part of an on-call rotation

•	Experience with Java, Map Reduce, SQL, Scala, Machine Learning

DESIRABLE QUALIFICATIONS:

•	Experience with SQL Server

•	Experience with Hadoop ecosystem and components (Spark, Hive, HBase, HDFS, Storm, Kafka)

•	Nice to have: Experience in Data Warehousing, ETL, SSRS, etc.

Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability."|senior data scientist|5|Midwest|Olathe| KS
Avcend Inc|"Job Position : Data Scientist

Duration :  7 + months

LOCATION :  Overland Park, KS

Data Scientist II develops processes to analyze high volume, diverse ""big data"" sources using advanced mathematical, statistical, querying, and reporting methods. Uses predictive analytics techniques and inductive statistical analysis to predict outcomes and behaviors. May interact with business partners to identify questions for data analysis and experiments. Effectively uses current and emerging technologies to create machine intelligence models. Bachelor's degree in Math, Statistics or related field, and +4 years related work experience. +4 years applicable experience working with R, Java, Python, SAS, SPSS or other predictive modeling tools. +4 years experience working with Hadoop, a NoSQL Database or other big data infrastructure. Must be eligible to work in the U.S. May require U.S Citizen only.

Description:

This position will work as part of a Cybersecurity / Fraud data science team. The candidate will be working as a member of the team to support the mitigation of cybersecurity and fraud risks. Specifically, the candidate will be creating and implementing models using Python, Scala, and Java.

Responsibilities:

The Data Scientist will be responsible for the following:

- Use business knowledge to guide projects to utilize the proper data science methodology

- Identification of data sources needed for model construction

- Evaluate model performance and accuracy to make algorithm recommendations

- Implement various data science algorithms on chosen data sources

- Be able to communicate results of model studies and statistical findings

Experience:

Real world implementation of statistical models into a production environment using Python, Scala, or Java.

Experience using SQL, Spark, Hive, and Hadoop.

Experience with the following concepts: Streaming decisioning, statistical modeling, real-time decisioning.

Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning.

Job Type: Contract

Salary: $48.00 /hour

Experience:

Scala: 1 year (Required)Spark: 1 year (Required)Java: 1 year (Required)Data Scientist: 4 years (Required)Hadoop: 4 years (Required)SQL: 1 year (Required)Python: 1 year (Required)
"|data scientist|0|Midwest|Overland Park| KS
Cleaver-Brooks|"Location: Milwaukee, WI (relocation assistance provided, if needed)

Role Summary:

The Senior Data Scientist applies expert level statistical analysis, data modeling, and predictive analysis on strategic and operational problems in the manufacturing and operations industry. As a key member of the IoT team, you will leverage your statistical and business expertise to translate business questions into data analysis and models, define suitable KPIs, and graphically present results to a wide range of audiences including direct customers, sales and service. You will also create high-quality data manipulation scripts in Python, develop data pipeline for advanced analysis and prediction. You will utilize strong communication skills to deliver your data findings throughout the organization.

Essential Responsibilities:

As the Senior Data Scientist, you will be integrated with the R&D, IT, Product Support, and Sales teams as part of a data science or cross-disciplinary team focused on analytics projects, involving large and complex data. The future applications include remote monitoring, predictive and prescriptive diagnostics of the entire boiler room and equipment to optimize customers operations.

Qualifications/Requirements:

Bachelor’s degree and Master’s degree in Engineering, Statistics, Mathematics or another quantitative fieldAbility to apply modeling and analytical skills to real-world problems demonstrated over 3-6 years of experience.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Work with subject matter experts for boilers to identify opportunities for leveraging data to deliver in-sights and actionable prediction of boiler behavior and performance.Experience in developing real world data applications and cloud implementationExperience developing experimental and analytic plans for data modelingKnowledge in using of relevant statistical measures such as confidence intervals, hypothesis testing significance of error measurements, development and evaluation data sets, etc. in data analysis projectsFamiliar with the following software/tools:

Coding knowledge and experience with any of the languages: C++, Java, Python.Experience using AWS web services: Redshift, S3, Athena, Kinesis, etc.

Experience using statistical computer languages (Python, R, SQL, etc.) to manipulate data and draw insights from large data setsExperience with machine learning and/or deep learning technologies and key parameters that affect their performanceDemonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial datasetsCollaborate with software engineers to implement and test production quality code for forecasting and data analytics models.

In this role you will:

Develop data-driven solutions to provide recommendations to our customersInteract with various departments like R&D, Service, Sales and Aftermarket to collect dataExplore huge amounts of data and create various user storiesExplore root cause for various issues identified in the dataProvide support in implementing data solutionsDevelop processes and tools to monitor and analyze model performance and data accuracyPerform exploratory data analysis for discovering insights;Develop, verify, and validate predictive or prescriptive analytics and insightsDocument and communicate your work and outcomes to internal leadership teamWork alongside software developers and sales team to translate algorithms into products and servicesWork with functional teams on application of analytics products.All other duties as assigned

Desired Characteristics:

Business Intelligence experienceDealing with structured and unstructured dataCreate new insights using existing and new dataStrong knowledge in statistics, applied mathematics, machine learning algorithmsAbility to design, build, and manage big data applicationsAbility to create a story and use visualizations to represent the dataMine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques, and business strategiesExperience with non-traditional databasesKnowledge of advanced statistical techniques and conceptsAbility to manage ambiguous circumstancesStrong Critical thinking and problem-solving skillsExcellent written and verbal communication skills
"|senior data scientist|0|Midwest|Lenexa| KS
Avacend, Inc.|"Job Posting Title: Data Scientist

Duration: 6+ months

Location: Overland Park KS

Applicable for US Citizen only

Data Scientist II develops processes to analyze high volume, diverse ""big data"" sources using advanced mathematical, statistical, querying, and reporting methods. Uses predictive analytics techniques and inductive statistical analysis to predict outcomes and behaviors. May interact with business partners to identify questions for data analysis and experiments. Effectively uses current and emerging technologies to create machine intelligence models. Bachelor's degree in Math, Statistics or related field, and +4 years related work experience. +4 years applicable experience working with R, Java, Python, SAS, SPSS or other predictive modeling tools. +4 years experience working with Hadoop, a NoSQL Database or other big data infrastructure. Must be eligible to work in the U.S. May require U.S Citizen only.

Description:

This position will work as part of a Cybersecurity / Fraud data science team. The candidate will be working as a member of the team to support the mitigation of cybersecurity and fraud risks. Specifically, the candidate will be creating and implementing models using Python, Scala, and Java.

Responsibilities:

The Data Scientist will be responsible for the following:

- Use business knowledge to guide projects to utilize the proper data science methodology

- Identification of data sources needed for model construction

- Evaluate model performance and accuracy to make algorithm recommendations

- Implement various data science algorithms on chosen data sources

- Be able to communicate results of model studies and statistical findings

Experience:

Real world implementation of statistical models into a production environment using Python, Scala, or Java.

Experience using SQL, Spark, Hive, and Hadoop. Experience with the following concepts: Streaming decisioning, statistical modeling, real-time decisioning.

Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning.Required Skills

Required Experience

Job Location

Overland Park, US-KS
"|data scientist|0|Midwest|Overland Park| KS
Avacend, Inc.|"Contract Duration: 6 months 

Pay rate - $ 55 per hr on w2

Location : Overland Park, KS 

Job Description:

Data Scientist develops processes to analyze high volume, diverse ""big data"" sources using advanced mathematical, statistical, querying, and reporting methods.

Uses predictive analytics techniques and inductive statistical analysis to predict outcomes and behaviors.

May interact with business partners to identify questions for data analysis and experiments.

Effectively uses current and emerging technologies to create machine intelligence models.

Applicable experience working with R, Java, Python, SAS, SPSS or other predictive modeling tools. Working with Hadoop, a NoSQL Database or other big data infrastructure.

Require U.S Citizen only.

This position will work as part of a Cyber security / Fraud data science team. The candidate will be working as a member of the team to support the mitigation of cyber security and fraud risks. Specifically, the candidate will be creating and implementing models using Python, Scala, and Java.

The Data Scientist will be responsible for the following:

- Use business knowledge to guide projects to utilize the proper data science methodology

- Identification of data sources needed for model construction

- Evaluate model performance and accuracy to make algorithm recommendations

- Implement various data science algorithms on chosen data sources

- Be able to communicate results of model studies and statistical findings

Real world implementation of statistical models into a production environment using Python, Scala, or Java.

Experience using SQL, Spark, Hive, and Hadoop.

Experience with the following concepts: Streaming decisioning, statistical modeling, and real-time decisioning.

Candidate must have a demonstrated interest in the field of data science, statistics, or machine learning

# For Quick Response,Candidate can send their Updated Resume to  aman.m@avcend.comRequired Skills

Required Experience

Job Location

Overland Park, US-KS
"|data scientist|0|Midwest|Overland Park| KS
